City,Year,AQI,CO2_Emissions,Green_Cover_Loss,Water_Consumption,Energy_Usage,Waste_Generated,Recycling_Rate,Population_Growth,Industrial_Expansion
London,2007,65,36.2,0.43,260.61,9931.98,2.05,26.94,3.34,7.36
Los Angeles,2004,253,33.41,1.4,144.47,4607.08,1.5,67.37,0.54,13.54
Delhi,2022,103,25.91,3.62,332.43,5662.69,3.22,54.14,1.85,11.23
New York,2004,90,45.49,2.64,376.6,6939.8,2.15,69.33,1.57,2.7
Phoenix,2024,108,17.79,2.09,62.97,6950.28,1.77,69.23,2.02,1.14
Beijing,2002,127,33.41,0.6,83.61,4527.37,2.24,42.47,2.24,6.9
Tokyo,2021,173,25.9,0.27,313.88,4113.8,2.5,34.1,1.63,4.0
New York,2019,233,7.67,4.48,194.78,3978.77,1.21,53.95,2.99,11.35
Sydney,2006,218,33.64,2.17,365.69,6183.13,3.05,31.18,2.46,9.89
Los Angeles,2021,195,44.82,3.6,207.35,3769.82,2.26,47.76,0.56,11.31
New York,2002,300,31.69,4.29,443.36,1133.29,3.46,62.4,0.87,13.0
Houston,2002,103,46.41,4.01,95.12,7861.57,0.62,31.12,1.38,2.69
London,2024,147,14.94,1.84,348.75,5782.81,2.81,21.29,3.0,9.37
London,2016,283,19.61,4.33,409.89,8115.03,3.13,62.77,2.51,11.01
London,2010,271,35.29,1.77,281.67,8940.79,2.02,17.41,2.34,1.23
Sydney,2014,266,43.88,4.89,469.72,2277.44,0.99,56.78,3.64,5.8
Chicago,2020,157,36.74,3.76,471.07,7124.51,2.04,50.83,1.74,1.22
Tokyo,2003,127,16.29,4.41,183.14,9719.08,1.23,77.57,1.18,14.41
Delhi,2010,87,18.62,3.63,91.47,9643.05,2.86,47.97,3.69,4.84
Delhi,2023,276,25.19,0.6,58.83,2725.06,1.96,51.36,0.94,11.81
Delhi,2020,265,17.9,0.78,204.55,8449.52,3.13,81.73,1.29,1.02
New York,2013,222,46.13,4.94,258.13,2581.56,1.34,56.66,3.4,6.44
Los Angeles,2013,115,31.86,1.61,221.2,1259.38,1.28,54.18,1.54,1.7
Phoenix,2020,110,25.45,0.44,477.5,8105.48,1.41,25.71,1.59,8.63
New York,2006,177,5.38,4.5,199.29,7509.95,0.71,39.37,2.14,10.72
Beijing,2016,173,23.91,1.42,386.49,8085.1,3.28,66.19,4.95,2.93
Sydney,2003,270,43.36,4.56,327.96,9630.03,2.96,82.89,0.78,5.47
London,2010,244,47.03,4.74,112.89,3041.24,2.27,48.67,1.73,11.85
Delhi,2002,88,9.9,0.19,237.96,7581.07,1.79,87.95,1.61,5.64
New York,2003,52,49.61,4.85,474.88,2429.2,1.97,19.34,0.99,4.36
Delhi,2004,50,45.78,0.11,360.34,3862.06,1.85,48.27,1.32,13.04
Phoenix,2021,293,17.63,1.99,62.91,9061.84,1.89,55.84,3.44,8.3
New York,2013,236,29.59,0.58,390.4,2639.07,1.37,23.62,3.29,10.79
Houston,2022,239,49.41,4.74,472.49,5739.29,0.53,41.19,1.78,10.53
Los Angeles,2016,221,7.27,1.16,246.32,5738.1,2.25,40.92,0.93,6.75
Houston,2001,294,21.27,4.27,367.38,2992.42,1.19,62.78,1.39,13.78
London,2015,150,24.24,0.58,178.3,5199.28,0.88,77.41,1.89,10.94
Chicago,2018,270,45.74,2.38,493.63,3211.04,2.36,78.85,4.11,4.12
Houston,2002,209,20.79,4.71,350.38,9669.01,3.32,79.79,1.52,11.0
Tokyo,2007,235,11.28,4.0,177.52,6175.43,0.75,39.37,4.08,13.33
Phoenix,2006,155,41.29,4.3,462.08,5572.43,1.19,44.09,4.22,9.52
Houston,2009,119,31.78,1.86,252.47,1575.21,2.58,74.86,2.17,10.77
Sydney,2002,68,39.33,1.93,295.87,3473.37,2.2,78.98,3.61,6.69
Phoenix,2012,66,19.4,1.72,145.22,5313.86,1.81,61.45,3.74,12.16
Sydney,2007,191,44.62,0.75,270.22,3874.59,2.55,51.68,2.55,5.67
Chicago,2011,295,24.83,4.39,191.64,4741.09,1.92,34.92,1.61,3.56
Delhi,2015,204,49.9,3.84,133.39,1555.51,1.02,15.3,3.89,7.93
Tokyo,2017,111,36.68,3.06,146.91,1998.94,1.91,67.44,2.26,14.87
Phoenix,2014,208,41.46,2.62,326.08,9310.99,2.64,83.26,4.34,9.15
Delhi,2006,286,5.19,1.46,182.74,7729.64,2.69,61.83,2.92,4.72
Beijing,2017,112,42.53,4.81,86.73,3425.72,1.54,72.93,0.95,4.28
London,2001,67,5.35,2.74,270.84,4470.37,2.67,27.82,3.94,6.9
Chicago,2004,201,48.53,1.12,384.58,5745.87,0.95,37.26,3.95,8.09
Tokyo,2000,212,8.59,4.13,360.38,5799.75,1.45,14.74,2.81,7.28
Los Angeles,2016,284,9.23,1.39,219.96,7408.01,1.78,26.84,0.7,7.88
New York,2000,108,15.26,2.45,339.74,2350.91,1.32,14.53,1.87,2.13
London,2007,76,8.05,0.3,65.54,2438.71,2.9,69.44,4.73,5.43
Delhi,2005,255,46.03,0.31,149.43,3121.17,2.07,53.17,3.86,8.12
Sydney,2024,283,10.38,1.88,175.57,4138.19,0.96,72.98,2.05,3.25
Delhi,2009,163,28.2,2.86,226.58,3273.9,0.75,10.35,0.8,13.66
Delhi,2021,277,17.32,1.21,243.91,1554.45,3.21,64.98,4.91,6.81
Los Angeles,2000,101,48.9,2.12,384.98,6362.06,1.24,85.67,0.68,9.92
Beijing,2014,52,7.98,2.44,279.19,1818.45,0.81,42.29,3.59,8.1
Phoenix,2011,218,23.16,4.59,248.3,8153.82,2.16,54.74,1.31,8.66
Tokyo,2006,83,25.91,4.2,193.89,1689.36,3.17,23.82,2.74,5.2
New York,2024,62,29.84,3.26,383.01,5773.4,1.28,18.57,4.88,14.63
Los Angeles,2014,53,48.97,4.46,181.38,8990.24,2.91,58.59,0.91,1.49
Houston,2012,265,15.58,2.84,494.76,2480.08,1.5,45.14,4.45,8.74
London,2009,265,14.95,1.18,58.64,8413.45,1.65,77.46,2.44,4.58
Houston,2021,132,31.7,3.21,486.03,1702.23,2.09,47.22,3.23,5.85
Phoenix,2000,205,15.49,0.59,152.53,5528.27,0.93,57.15,0.61,3.61
Tokyo,2000,125,46.5,2.49,400.1,8615.88,1.21,76.13,0.84,5.23
Sydney,2013,249,49.88,4.33,300.42,7086.95,2.99,35.02,1.29,7.41
Tokyo,2024,291,7.69,1.09,358.57,7340.51,2.82,36.25,3.37,7.29
Sydney,2023,152,48.42,4.09,133.81,1540.61,1.73,34.93,3.03,8.6
Chicago,2022,256,45.4,4.84,235.23,7280.49,2.26,81.21,3.97,8.05
London,2014,214,37.31,1.47,412.43,1823.21,1.11,46.96,1.06,1.05
Delhi,2008,189,8.69,0.26,277.58,8483.51,3.03,14.71,0.86,14.13
Beijing,2003,256,14.53,1.82,96.18,3634.28,2.48,54.05,0.62,5.67
Sydney,2008,100,38.52,2.53,73.35,8545.87,3.32,35.59,4.19,3.92
Delhi,2024,89,34.82,1.8,327.44,7503.32,3.19,13.89,2.78,13.93
Los Angeles,2022,235,41.59,3.84,97.23,4758.66,1.26,48.89,1.71,7.87
Delhi,2020,276,39.1,4.83,136.52,3713.69,1.74,11.45,1.36,6.59
Los Angeles,2005,118,22.38,4.78,460.57,8893.47,0.53,38.49,4.16,11.78
Chicago,2003,256,44.74,1.49,331.61,3085.54,2.87,27.53,3.28,1.02
Sydney,2016,129,38.84,4.94,181.19,8696.61,2.99,84.58,3.96,9.95
Phoenix,2024,135,8.88,4.85,127.61,4930.25,1.84,29.44,1.44,2.15
New York,2014,198,34.3,3.92,269.61,1947.0,0.64,21.55,2.27,12.89
Beijing,2007,133,22.21,3.75,459.68,2412.69,0.94,82.57,1.43,8.1
Delhi,2003,136,41.97,4.54,444.91,8638.31,0.58,32.77,3.17,6.03
Sydney,2023,170,29.94,2.59,241.2,7849.97,2.63,36.86,1.9,2.86
Sydney,2004,277,37.0,2.96,427.33,3349.05,1.54,24.31,3.5,14.98
Beijing,2024,229,11.15,1.98,444.78,9915.43,1.59,41.71,4.12,11.84
New York,2014,151,41.75,0.52,355.23,8746.58,1.49,50.44,1.32,5.09
Los Angeles,2024,263,39.27,3.58,130.28,2208.07,3.38,57.29,4.57,10.94
Tokyo,2017,99,9.89,3.59,300.94,3121.48,0.76,15.09,2.06,9.79
Delhi,2020,107,46.47,3.55,481.0,3997.66,1.69,20.69,3.35,3.04
London,2024,197,7.82,0.22,374.55,9810.32,1.59,45.0,3.62,14.13
Tokyo,2013,147,23.86,0.13,302.77,9633.3,2.47,50.49,3.5,1.48
Sydney,2003,266,22.87,1.32,54.61,7832.09,1.14,67.66,0.61,14.35
Los Angeles,2022,182,39.88,2.39,481.16,1370.4,1.74,14.19,3.37,10.6
Houston,2020,245,40.05,4.32,219.45,1547.14,0.83,42.09,3.21,3.14
Sydney,2009,216,5.41,3.45,183.59,3285.89,3.15,42.38,3.85,11.64
Houston,2005,119,25.8,1.14,427.01,5286.18,2.48,78.09,4.45,4.7
Houston,2022,251,13.08,3.95,63.91,5741.49,1.85,54.42,4.4,13.71
New York,2007,135,16.37,0.96,178.09,2739.34,1.44,48.75,0.64,13.58
New York,2015,134,6.47,2.11,378.65,4645.29,1.37,40.37,0.95,3.79
Los Angeles,2015,104,36.13,1.6,89.72,3921.7,2.82,57.6,1.87,13.32
New York,2012,89,25.45,3.31,157.48,7503.1,0.72,39.01,1.85,11.92
New York,2012,173,37.78,0.98,361.61,7738.58,1.1,23.53,4.19,14.25
New York,2001,213,5.58,2.35,337.57,5420.19,0.97,78.65,4.51,1.59
Houston,2023,147,31.53,0.92,239.82,3812.43,0.9,30.68,4.28,4.04
Chicago,2018,155,37.81,1.58,349.6,6185.15,3.07,39.79,2.82,2.36
New York,2013,255,44.1,4.74,385.51,6343.87,1.75,34.22,1.8,14.58
Phoenix,2001,210,48.91,2.92,247.92,2579.22,0.9,34.15,3.97,3.51
Tokyo,2001,165,20.53,0.23,429.69,9371.33,1.38,87.25,3.13,5.21
Chicago,2019,97,28.15,2.6,381.08,3519.71,2.25,72.98,0.52,13.09
Phoenix,2012,74,5.82,1.34,279.28,4464.15,2.32,39.65,2.7,7.03
London,2007,174,34.75,0.89,492.31,5476.83,1.51,27.48,3.89,11.25
Houston,2002,120,49.19,3.65,148.1,1883.29,2.36,42.98,4.27,5.64
Beijing,2012,245,19.44,1.77,246.57,3036.64,3.35,14.23,3.0,3.88
Tokyo,2013,170,45.69,1.14,94.03,8520.89,0.81,45.09,2.62,9.05
Houston,2018,199,44.85,2.09,159.13,8656.64,0.82,52.24,0.62,13.05
Chicago,2018,220,9.83,2.97,274.15,6733.34,3.24,69.21,2.64,4.43
New York,2010,148,39.33,4.52,102.79,3057.78,2.73,43.49,3.22,5.27
Beijing,2003,153,12.58,0.58,487.66,2717.41,2.24,83.6,1.49,6.35
London,2018,244,30.11,0.26,370.56,4686.69,2.4,79.71,1.49,6.81
Phoenix,2011,127,49.42,0.36,496.85,8671.33,1.8,22.17,2.32,8.74
Beijing,2014,65,21.25,1.14,157.5,6211.72,3.48,34.27,3.58,2.24
Chicago,2004,124,6.53,0.7,481.1,4637.36,0.91,40.44,2.89,4.2
Phoenix,2008,95,42.84,4.34,409.77,4845.36,3.24,20.88,4.42,2.81
Phoenix,2006,85,43.47,2.48,227.7,4135.53,1.64,49.75,4.02,8.9
Tokyo,2024,290,30.56,2.34,386.56,2289.47,0.85,78.2,4.66,7.81
Delhi,2001,154,43.79,1.83,359.16,8650.05,0.68,25.5,1.5,9.61
New York,2024,57,6.41,1.61,394.11,9496.75,2.83,31.47,4.28,10.95
Phoenix,2013,177,37.45,4.19,239.39,6396.12,3.16,11.56,2.51,13.07
Delhi,2002,156,41.1,2.38,269.55,9336.89,3.44,69.82,1.41,10.97
Los Angeles,2009,74,27.68,0.81,437.18,7174.62,1.83,27.13,4.86,13.08
Tokyo,2004,270,13.29,3.1,361.14,7970.74,1.59,66.24,2.56,13.68
Phoenix,2001,118,22.95,4.68,392.3,4654.16,3.06,53.52,3.49,2.5
Chicago,2002,191,33.02,1.48,367.52,7184.03,2.25,53.93,4.68,9.22
Los Angeles,2000,70,30.8,4.43,50.37,1633.41,1.39,36.67,1.77,12.14
London,2009,154,10.8,4.68,495.4,4954.33,1.23,17.55,4.02,12.83
Tokyo,2017,297,37.02,2.71,301.78,2774.87,1.01,33.62,2.0,9.83
Chicago,2017,52,24.05,0.22,367.94,8762.29,2.03,14.9,3.73,2.32
Sydney,2002,208,35.1,1.98,423.79,1817.96,0.97,36.48,0.81,2.05
Sydney,2002,130,6.48,1.89,77.59,4105.03,0.82,73.28,3.76,14.03
Tokyo,2020,268,31.82,3.01,54.71,9638.05,1.9,46.3,4.35,9.12
Los Angeles,2000,105,27.12,1.02,493.5,9090.31,1.85,17.08,4.47,13.72
Beijing,2022,53,19.32,1.22,485.06,8335.74,0.52,59.66,3.73,6.39
Houston,2021,203,21.38,4.56,465.28,3857.38,0.77,60.08,4.15,8.8
New York,2011,286,47.25,3.54,456.6,5502.4,2.72,17.73,4.89,9.83
Sydney,2000,232,34.45,1.95,362.64,1508.39,2.42,45.38,2.21,10.42
London,2000,131,49.38,3.83,453.41,5956.02,2.87,26.54,3.04,2.91
Beijing,2013,132,17.51,4.78,475.74,2973.7,1.44,87.53,4.3,1.5
Los Angeles,2011,109,10.84,2.08,121.65,9104.57,1.73,41.26,4.04,1.47
Beijing,2013,216,10.5,3.35,266.24,5789.68,3.27,40.94,2.26,5.56
Los Angeles,2016,62,17.04,3.23,123.84,1061.08,2.45,80.35,4.72,10.51
Sydney,2006,203,10.45,1.2,232.25,3043.67,2.96,24.73,3.36,5.22
Los Angeles,2023,88,10.42,3.16,129.76,4812.63,1.41,46.25,3.59,12.7
Chicago,2003,239,36.2,1.45,263.97,8399.59,0.88,89.19,1.37,14.04
Tokyo,2008,227,7.61,2.81,208.73,3912.54,1.47,23.51,2.54,9.66
Los Angeles,2021,121,31.48,2.62,61.89,1418.47,2.86,48.09,4.72,14.36
Delhi,2019,286,34.71,1.67,51.14,9493.15,0.99,22.85,2.17,12.93
Delhi,2009,153,18.43,0.57,100.78,3544.6,1.19,16.39,0.98,1.23
Sydney,2019,268,25.76,2.37,312.14,2246.9,2.16,70.26,4.79,3.88
Tokyo,2017,122,28.42,0.91,220.36,4820.56,1.06,79.14,2.12,13.12
Beijing,2004,213,21.31,4.66,408.05,1625.69,0.86,16.38,1.68,14.8
Sydney,2021,89,38.65,3.12,476.8,6785.14,0.55,85.39,2.66,8.52
Chicago,2014,282,40.0,3.51,282.45,1539.51,2.51,41.11,4.75,11.47
Delhi,2014,95,5.39,3.45,178.56,6024.93,0.98,48.45,1.85,9.43
Houston,2010,67,24.23,2.0,97.69,1425.53,1.01,14.92,2.72,12.33
Los Angeles,2012,82,45.44,3.96,167.3,3498.86,1.05,21.67,2.89,9.25
Los Angeles,2013,282,16.01,3.36,179.29,5440.67,0.76,85.09,0.61,14.51
Beijing,2022,166,20.54,4.77,393.86,2752.54,1.44,57.81,4.02,6.05
Tokyo,2012,294,47.33,4.0,67.08,6215.56,2.03,75.85,0.76,14.84
Sydney,2024,278,21.15,1.78,163.87,4519.19,2.47,14.66,4.67,7.4
Sydney,2001,232,27.78,2.16,295.64,9305.68,0.68,48.5,3.55,3.13
Tokyo,2016,130,40.07,2.79,462.28,2105.39,2.17,45.47,1.84,3.51
Phoenix,2016,294,23.7,4.32,372.62,6441.37,2.9,13.98,3.48,13.25
Chicago,2020,180,39.89,0.59,233.44,6303.46,2.9,31.09,4.53,1.07
Houston,2013,183,47.42,3.84,465.99,7459.97,2.9,54.39,4.45,6.08
Delhi,2023,137,40.81,0.96,233.12,6925.97,2.52,80.03,0.88,9.16
Sydney,2006,286,26.65,0.89,208.27,9201.67,2.79,57.52,2.87,6.79
Los Angeles,2011,250,46.16,4.29,475.23,6381.27,1.16,55.38,1.41,11.26
Delhi,2006,249,40.41,4.67,370.61,3184.62,3.37,87.83,2.0,13.38
London,2022,56,6.6,2.51,399.5,2684.7,2.61,35.39,1.42,9.51
Phoenix,2023,169,32.66,3.23,264.31,6874.72,0.85,26.1,2.82,7.94
Sydney,2021,156,36.18,2.85,76.45,3752.41,1.37,71.06,1.01,12.19
Houston,2010,64,9.85,2.55,355.36,7753.35,1.41,59.98,1.21,4.4
Delhi,2008,124,21.91,3.66,150.16,7713.64,2.2,71.62,4.33,7.66
Los Angeles,2003,264,49.35,1.69,207.64,3002.41,1.55,74.31,1.14,6.66
Tokyo,2013,86,21.41,4.9,295.64,3939.49,1.38,30.39,2.71,8.77
Houston,2005,262,46.44,1.23,238.72,2123.66,1.84,34.79,1.79,7.43
Los Angeles,2009,260,30.06,4.53,195.24,1352.65,3.39,25.55,1.26,5.69
Chicago,2002,238,33.65,4.13,257.71,3511.44,2.56,29.7,1.01,8.61
Phoenix,2020,289,27.14,4.28,497.29,6744.23,3.24,71.71,2.49,2.01
Chicago,2021,50,26.0,1.53,103.18,5275.63,2.14,19.54,3.38,8.72
London,2000,131,40.49,2.17,320.61,2730.14,3.44,33.14,4.58,13.75
Chicago,2020,65,39.82,3.96,327.23,3360.84,0.51,54.73,4.02,14.35
New York,2011,122,32.44,3.58,256.12,6627.22,2.64,88.69,0.64,13.35
Sydney,2000,130,23.65,2.33,157.03,1915.18,1.82,46.81,3.03,10.18
Phoenix,2012,55,43.61,3.64,489.76,1172.23,1.84,69.42,4.66,9.16
Tokyo,2024,141,46.9,0.12,86.71,8575.07,1.37,47.26,1.7,2.98
Delhi,2024,131,8.63,0.9,406.48,6237.76,2.87,52.57,4.38,3.44
New York,2011,215,24.4,1.83,245.18,8095.45,1.1,59.47,2.35,2.21
Los Angeles,2000,155,23.96,4.79,286.18,1064.93,1.01,42.26,4.42,5.01
Beijing,2011,268,20.33,4.11,257.01,7812.24,2.89,40.26,2.94,1.32
London,2016,189,41.48,1.47,279.12,1787.64,0.61,36.51,1.1,5.63
Beijing,2009,103,5.08,2.62,63.28,6968.42,1.94,37.6,0.7,6.47
New York,2012,139,27.82,2.63,339.11,8535.06,1.03,39.82,2.86,14.97
Sydney,2011,201,41.84,3.3,300.3,7275.86,1.49,55.33,2.45,6.71
Houston,2022,300,8.67,1.12,202.96,3263.85,0.58,71.67,1.0,12.62
London,2003,141,44.0,4.09,484.45,1646.71,1.27,49.14,3.22,3.55
London,2013,62,21.37,4.36,219.69,3333.69,1.05,65.57,4.72,13.66
London,2009,213,41.59,4.3,190.06,5712.44,0.96,14.89,2.96,6.68
Delhi,2005,268,44.36,1.14,302.14,8086.25,1.1,47.68,0.91,9.83
New York,2010,202,5.56,1.18,446.8,5131.51,2.01,76.64,1.74,1.21
London,2022,178,30.42,3.78,452.49,8912.16,1.31,25.58,4.91,8.88
Sydney,2001,291,26.46,0.7,237.54,4177.4,1.05,68.14,4.1,11.43
Sydney,2021,256,36.41,3.15,380.44,7105.76,3.33,45.81,3.64,8.94
Tokyo,2021,139,7.05,2.67,225.94,3858.71,3.28,85.24,1.06,9.43
Phoenix,2000,217,27.07,1.12,325.45,7595.69,2.03,13.12,4.44,10.72
Beijing,2024,245,20.36,3.51,75.17,7551.76,0.72,57.87,1.93,14.5
Sydney,2004,60,36.25,4.07,218.84,5414.05,3.34,10.93,1.98,14.78
Tokyo,2000,229,33.9,1.51,313.97,8406.08,0.59,27.53,3.2,7.36
New York,2002,197,10.13,4.66,124.09,8047.88,3.18,62.13,2.52,2.26
Houston,2000,53,9.1,2.3,285.4,8810.52,0.84,22.58,1.47,13.03
Tokyo,2024,162,46.44,4.69,54.31,6454.53,0.74,48.16,3.22,13.76
Houston,2001,200,21.53,1.11,361.09,7039.01,0.73,74.46,1.95,11.46
Sydney,2021,105,36.69,4.97,443.85,6075.11,3.12,19.2,2.66,7.73
Beijing,2007,167,17.63,3.39,57.91,1594.28,1.01,56.25,4.85,12.64
New York,2016,292,45.23,4.19,171.01,6543.37,2.35,57.84,2.63,10.4
Houston,2006,142,19.12,1.09,402.74,6355.82,2.2,34.25,2.59,11.59
New York,2024,174,38.85,1.94,166.22,3897.32,2.16,58.9,2.89,13.02
Sydney,2003,276,39.31,2.28,171.33,5533.08,2.21,12.47,2.69,11.79
Delhi,2012,69,38.35,3.3,143.63,7906.4,2.77,50.46,3.47,14.82
Sydney,2015,177,7.22,1.92,496.24,3139.04,3.05,21.47,4.61,10.82
New York,2012,76,11.75,1.67,480.5,4833.84,3.18,20.76,1.71,14.11
London,2001,61,34.48,2.37,91.68,6842.86,2.27,73.67,3.1,6.66
Chicago,2005,125,36.63,0.81,169.03,9077.65,3.04,11.24,3.52,5.43
Los Angeles,2012,212,23.97,2.89,141.25,1510.0,0.82,29.52,2.04,11.18
Beijing,2015,222,45.58,0.4,411.91,4909.1,1.75,35.75,2.84,8.35
Phoenix,2012,261,18.94,4.8,245.38,3945.33,2.4,48.4,3.87,5.16
Tokyo,2002,205,23.16,1.32,135.3,7526.02,2.6,65.82,2.81,3.96
Beijing,2013,204,36.61,1.94,233.26,6741.42,2.77,81.81,0.82,7.84
Beijing,2007,89,12.95,0.67,72.93,1334.58,1.46,30.95,4.84,4.47
New York,2023,136,14.6,3.95,222.4,8254.22,1.3,22.15,4.6,12.1
London,2017,297,28.87,2.65,263.88,8559.52,1.45,81.52,2.36,11.66
London,2007,178,17.84,3.42,262.93,4932.69,1.27,82.32,3.14,4.31
London,2011,54,14.41,0.33,413.38,5063.7,1.11,61.77,4.11,3.8
Houston,2020,110,34.45,4.57,430.38,3518.94,1.09,17.84,2.16,5.17
Los Angeles,2009,225,31.29,0.34,330.57,4501.34,2.26,18.24,0.94,2.71
New York,2009,208,11.78,2.89,256.97,1186.65,2.86,86.64,0.65,9.42
Phoenix,2007,129,40.76,1.71,473.93,4182.15,0.52,49.66,2.12,14.06
New York,2014,251,42.98,1.43,290.11,9311.57,1.84,14.8,1.43,11.45
Houston,2016,214,35.31,0.82,92.3,7539.58,0.89,44.6,3.71,11.47
Houston,2017,157,13.51,1.01,234.8,5021.25,2.01,29.39,4.11,1.16
Sydney,2012,277,47.78,1.46,485.4,8641.32,1.03,12.74,2.14,2.67
London,2002,254,20.62,2.86,114.97,3714.3,2.8,58.35,1.89,8.5
Phoenix,2015,279,8.84,3.21,131.45,6643.36,3.19,16.84,0.53,11.56
Sydney,2022,201,28.1,3.85,173.42,5986.22,3.0,38.28,4.45,8.64
Houston,2017,103,30.24,2.59,404.07,4298.55,1.26,18.72,3.19,5.95
Chicago,2007,63,16.76,0.46,171.89,8058.02,2.5,35.2,4.11,14.69
Delhi,2019,240,7.89,2.91,339.64,2131.69,1.79,24.41,2.67,3.61
Houston,2011,81,27.44,2.6,266.53,8133.12,1.44,66.11,3.76,9.87
Sydney,2003,293,17.33,4.65,196.56,1452.91,3.46,88.51,2.05,1.43
